Model,Repetition,Fold,Accuracy,F2-Score,Precision,Recall,AUC
KNN-7,8,5,0.8145695364238411,0.40794979079497906,0.18932038834951456,0.5735294117647058,0.7592487955748527
GaussianNB,9,1,0.8761814744801513,0.5568445475638051,0.3018867924528302,0.7058823529411765,0.8378787878787879
RandomForest,9,1,0.9253308128544423,0.36253776435045315,0.4067796610169492,0.35294117647058826,0.8700609031491384
DecisionTree-pruned,9,1,0.8809073724007561,0.3626943005181347,0.24561403508771928,0.4117647058823529,0.6621509209744504
LogisticRegression,9,1,0.8572778827977315,0.5408388520971302,0.27071823204419887,0.7205882352941176,0.8544117647058823
MLP,9,1,0.8657844990548205,0.5340909090909091,0.27976190476190477,0.6911764705882353,0.8588532382650029
KNN-3,9,1,0.8487712665406427,0.3333333333333333,0.1891891891891892,0.4117647058823529,0.6531788472964944
KNN-5,9,1,0.8298676748582231,0.3475336322869955,0.1781609195402299,0.45588235294117646,0.7286319073083778
KNN-7,9,1,0.8232514177693762,0.38876889848812096,0.18848167539267016,0.5294117647058824,0.746078431372549
GaussianNB,9,2,0.7901701323251418,0.4953271028037383,0.20463320463320464,0.7681159420289855,0.8182617488020398
RandomForest,9,2,0.9158790170132325,0.4096045197740113,0.3717948717948718,0.42028985507246375,0.837385149690069
DecisionTree-pruned,9,2,0.888468809073724,0.3562005277044855,0.2621359223300971,0.391304347826087,0.6461511408097771
LogisticRegression,9,2,0.8516068052930057,0.5387931034482759,0.26595744680851063,0.7246376811594203,0.8374291115311909
MLP,9,2,0.8733459357277883,0.4846335697399527,0.2789115646258503,0.5942028985507246,0.8289298222476225
KNN-3,9,2,0.8553875236294896,0.43577981651376146,0.2375,0.5507246376811594,0.7311879954865843
KNN-5,9,2,0.831758034026465,0.42116630669546434,0.20855614973262032,0.5652173913043478,0.7404712709368267
KNN-7,9,2,0.8223062381852552,0.42105263157894735,0.20100502512562815,0.5797101449275363,0.7561509942703066
GaussianNB,9,3,0.8582230623818525,0.5033557046979866,0.2631578947368421,0.6521739130434783,0.7896499172051992
RandomForest,9,3,0.9272211720226843,0.3869047619047619,0.43333333333333335,0.37681159420289856,0.8499875441450154
DecisionTree-pruned,9,3,0.9017013232514177,0.39295392953929537,0.3118279569892473,0.42028985507246375,0.6608270687709734
LogisticRegression,9,3,0.8846880907372401,0.5369928400954654,0.3146853146853147,0.6521739130434783,0.8211925382101669
MLP,9,3,0.9120982986767486,0.5263157894736842,0.38461538461538464,0.5797101449275363,0.8415468706496095
KNN-3,9,3,0.8657844990548205,0.39759036144578314,0.23741007194244604,0.4782608695652174,0.7325141776937619
KNN-5,9,3,0.8497164461247637,0.4298642533936652,0.2289156626506024,0.5507246376811594,0.7575211383186061
KNN-7,9,3,0.8374291115311909,0.4535637149028078,0.22459893048128343,0.6086956521739131,0.7791283832300229
GaussianNB,9,4,0.8391674550614948,0.44956140350877194,0.22282608695652173,0.6029411764705882,0.7643713198120502
RandomForest,9,4,0.9091769157994324,0.31976744186046513,0.3055555555555556,0.3235294117647059,0.8249643133289717
DecisionTree-pruned,9,4,0.8770104068117314,0.3479381443298969,0.23275862068965517,0.39705882352941174,0.6501814072443942
LogisticRegression,9,4,0.8438978240302744,0.46357615894039733,0.23204419889502761,0.6176470588235294,0.832674121215726
MLP,9,4,0.8051087984862819,0.4334677419354839,0.19196428571428573,0.6323529411764706,0.793909474811158
KNN-3,9,4,0.8514664143803217,0.3764705882352941,0.20915032679738563,0.47058823529411764,0.7196588949027538
KNN-5,9,4,0.8353831598864712,0.4092920353982301,0.20555555555555555,0.5441176470588235,0.7393906500921905
KNN-7,9,4,0.8202459791863765,0.40425531914893614,0.1919191919191919,0.5588235294117647,0.7573083328376851
GaussianNB,9,5,0.8306527909176916,0.5419222903885481,0.24423963133640553,0.7794117647058824,0.8504133706060787
RandomForest,9,5,0.9167455061494797,0.3901734104046243,0.36486486486486486,0.39705882352941174,0.8461161006364123
DecisionTree-pruned,9,5,0.8893093661305582,0.3485254691689008,0.25742574257425743,0.38235294117647056,0.6467019568191281
LogisticRegression,9,5,0.8599810785241249,0.5869565217391305,0.2872340425531915,0.7941176470588235,0.8874085529054898
MLP,9,5,0.859035004730369,0.5257270693512305,0.26857142857142857,0.6911764705882353,0.8346368881222864
KNN-3,9,5,0.8599810785241249,0.4146919431279621,0.23333333333333334,0.5147058823529411,0.7571745078213287
KNN-5,9,5,0.8457899716177862,0.45657015590200445,0.23163841807909605,0.6029411764705882,0.7755531434009397
KNN-7,9,5,0.815515610217597,0.43478260869565216,0.1990521327014218,0.6176470588235294,0.774698150240885
