Model,Repetition,Fold,Accuracy,F2-Score,Precision,Recall,AUC
GaussianNB,4,3,0.6805293005671077,0.41347626339969373,0.14323607427055704,0.782608695652174,0.791928605970018
RandomForest,4,3,0.9253308128544423,0.3333333333333333,0.4074074074074074,0.3188405797101449,0.8378980378364913
DecisionTree-pruned,4,3,0.8856332703213611,0.3306878306878307,0.24509803921568626,0.36231884057971014,0.6415864363066193
LogisticRegression,4,3,0.8610586011342155,0.5592105263157895,0.2833333333333333,0.7391304347826086,0.8634252135812782
MLP,4,3,0.8856332703213611,0.4802955665024631,0.3,0.5652173913043478,0.7718380445773069
KNN-3,4,3,0.8393194706994329,0.3530751708428246,0.1901840490797546,0.4492753623188406,0.6901715977198457
KNN-5,4,3,0.8213610586011342,0.38461538461538464,0.1875,0.5217391304347826,0.7246743160270218
KNN-7,4,3,0.8204158790170132,0.40169133192389006,0.19289340101522842,0.5507246376811594,0.736368165765449
GaussianNB,4,4,0.8609271523178808,0.46403712296983757,0.25157232704402516,0.5882352941176471,0.7628025932314282
RandomForest,4,4,0.9224219489120151,0.4093567251461988,0.4,0.4117647058823529,0.8410902277999166
DecisionTree-pruned,4,4,0.8826868495742668,0.34210526315789475,0.24074074074074073,0.38235294117647056,0.6616457503122584
LogisticRegression,4,4,0.8675496688741722,0.49065420560747663,0.2692307692307692,0.6176470588235294,0.8190834473324212
MLP,4,4,0.8770104068117314,0.4433497536945813,0.26865671641791045,0.5294117647058824,0.8235888895497532
KNN-3,4,4,0.8628192999053926,0.345679012345679,0.21052631578947367,0.4117647058823529,0.690529649675846
KNN-5,4,4,0.8552507095553453,0.3900709219858156,0.2185430463576159,0.4852941176470588,0.6967004698745018
KNN-7,4,4,0.8420056764427626,0.4157303370786517,0.2138728323699422,0.5441176470588235,0.7373312317849284
GaussianNB,4,5,0.8552507095553453,0.5298013245033113,0.26519337016574585,0.7058823529411765,0.8074109320168917
RandomForest,4,5,0.923368022705771,0.39823008849557523,0.40298507462686567,0.39705882352941174,0.8709778147861773
DecisionTree-pruned,4,5,0.8751182592242195,0.3010471204188482,0.20909090909090908,0.3382352941176471,0.6241301373936835
LogisticRegression,4,5,0.8628192999053926,0.565410199556541,0.2849162011173184,0.75,0.8545916850056503
MLP,4,5,0.9016083254493851,0.5555555555555556,0.3548387096774194,0.6470588235294118,0.8226223755427348
KNN-3,4,5,0.8599810785241249,0.47235023041474655,0.25308641975308643,0.6029411764705882,0.7822741331112829
KNN-5,4,5,0.8410596026490066,0.4956896551724138,0.23958333333333334,0.6764705882352942,0.7970171890798785
KNN-7,4,5,0.8249763481551561,0.4612159329140461,0.2146341463414634,0.6470588235294118,0.7993516921429845
GaussianNB,5,1,0.831758034026465,0.5268595041322314,0.24056603773584906,0.75,0.8345662507427213
RandomForest,5,1,0.9187145557655955,0.4046242774566474,0.3783783783783784,0.4117647058823529,0.8457961972667855
DecisionTree-pruned,5,1,0.8572778827977315,0.26448362720403024,0.168,0.3088235294117647,0.6048722519310755
LogisticRegression,5,1,0.8487712665406427,0.5555555555555556,0.2653061224489796,0.7647058823529411,0.8671271538918599
MLP,5,1,0.8809073724007561,0.44776119402985076,0.27692307692307694,0.5294117647058824,0.8093285799168153
KNN-3,5,1,0.8251417769376181,0.3812636165577342,0.18716577540106952,0.5147058823529411,0.7092617349970292
KNN-5,5,1,0.8119092627599244,0.40540540540540543,0.18660287081339713,0.5735294117647058,0.7445261437908498
KNN-7,5,1,0.7939508506616257,0.4150197628458498,0.1794871794871795,0.6176470588235294,0.7553178847296494
GaussianNB,5,2,0.8629489603024575,0.5180180180180181,0.27380952380952384,0.6666666666666666,0.8194487185123314
RandomForest,5,2,0.9272211720226843,0.4239766081871345,0.4393939393939394,0.42028985507246375,0.8395172989844816
DecisionTree-pruned,5,2,0.8865784499054821,0.2602739726027397,0.21348314606741572,0.2753623188405797,0.6042628331941208
LogisticRegression,5,2,0.8686200378071833,0.5251141552511416,0.2839506172839506,0.6666666666666666,0.8433053442944857
MLP,5,2,0.8780718336483931,0.4,0.25806451612903225,0.463768115942029,0.7968230242815902
KNN-3,5,2,0.8544423440453687,0.3460620525059666,0.20279720279720279,0.42028985507246375,0.6697073606775985
KNN-5,5,2,0.8289224952741021,0.37280701754385964,0.18888888888888888,0.4927536231884058,0.6940695476326548
KNN-7,5,2,0.8175803402646503,0.3813559322033898,0.1836734693877551,0.5217391304347826,0.7160431412200876
GaussianNB,5,3,0.8667296786389413,0.5493273542600897,0.28823529411764703,0.7101449275362319,0.821749388197711
RandomForest,5,3,0.9281663516068053,0.3880597014925373,0.4406779661016949,0.37681159420289856,0.8345642648847467
DecisionTree-pruned,5,3,0.8856332703213611,0.3306878306878307,0.24509803921568626,0.36231884057971014,0.6397766738471007
LogisticRegression,5,3,0.8487712665406427,0.5097613882863341,0.25405405405405407,0.6811594202898551,0.8376342667897599
MLP,5,3,0.8771266540642723,0.4600484261501211,0.2773722627737226,0.5507246376811594,0.7890271244559721
KNN-3,5,3,0.8657844990548205,0.4470588235294118,0.2550335570469799,0.5507246376811594,0.751014785832564
KNN-5,5,3,0.8459357277882797,0.46255506607929514,0.23595505617977527,0.6086956521739131,0.7473732799929661
KNN-7,5,3,0.8289224952741021,0.45358649789029537,0.21717171717171718,0.6231884057971014,0.7582831435647193
GaussianNB,5,4,0.8628192999053926,0.4942528735632184,0.26380368098159507,0.6323529411764706,0.8059165526675787
RandomForest,5,4,0.9195837275307474,0.3812316715542522,0.37681159420289856,0.38235294117647056,0.7988089573544281
DecisionTree-pruned,5,4,0.8760643330179754,0.3359173126614987,0.22608695652173913,0.38235294117647056,0.6400701837863557
LogisticRegression,5,4,0.8599810785241249,0.47235023041474655,0.25308641975308643,0.6029411764705882,0.8238119312436805
MLP,5,4,0.8353831598864712,0.44565217391304346,0.21808510638297873,0.6029411764705882,0.7818354844465593
KNN-3,5,4,0.859035004730369,0.35279805352798055,0.20863309352517986,0.4264705882352941,0.6693109498602272
KNN-5,5,4,0.8391674550614948,0.31542056074766356,0.17307692307692307,0.39705882352941174,0.6850428240052341
KNN-7,5,4,0.8315988647114475,0.35874439461883406,0.1839080459770115,0.47058823529411764,0.7026259442098376
GaussianNB,5,5,0.8609271523178808,0.5456570155902004,0.2768361581920904,0.7205882352941176,0.8230089811455421
RandomForest,5,5,0.9290444654683065,0.417910447761194,0.4444444444444444,0.4117647058823529,0.8769702016296913
DecisionTree-pruned,5,5,0.8741721854304636,0.3002610966057441,0.2072072072072072,0.3382352941176471,0.6008743234401952
LogisticRegression,5,5,0.8637653736991485,0.5837004405286343,0.29120879120879123,0.7794117647058824,0.8636323083328377
MLP,5,5,0.8807947019867549,0.5450236966824644,0.30666666666666664,0.6764705882352942,0.8803753048236483
KNN-3,5,5,0.8684957426679281,0.37220843672456577,0.22900763358778625,0.4411764705882353,0.7259412359483732
KNN-5,5,5,0.8580889309366131,0.4225352112676056,0.23376623376623376,0.5294117647058824,0.7514051626717421
